"pid","title","short_name","description","link","screenshot_url","status","type","terms","changed"
"1","Drupal","drupal","","http://drupal.org/project/drupal","","1","Drupal project","Drupal project","1272530859"
"2","Amazon Module","amazon","<p>This project is an implementation of the Amazon Product Advertising API for Drupal 6. It's modular in design, with a central ""Pure API"" component that interacts with Amazon, and optional modules to handle expanded data for additional product types, features like wishlists and customer reviews, etc.</p>","http://drupal.org/project/amazon","","1","Modules","Modules","1272530859"
"3","Atom","atom","<p>Provides an Atom 1.0 feed.</p>","http://drupal.org/project/atom","","1","Modules","Modules","1272530859"
"4","Devel","devel","<p>: I pledge that Devel will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p></p><p>A suite of modules containing fun for module developers and themers ...</p>","http://drupal.org/project/devel","","1","Modules","Modules","1272530859"
"5","Ezmlm","ezmlm","<p>Stable versions for drupal 5.x and drupal 6.x are now available.</p><p>This module allows a site administrator to list one or more ezmlm-managed mailing lists which site visitors can then subscribe to through either a block and/or page form as selected by the administrator.  The module sends the required subscribe message to the configured mailing list, and the subscription process proceeds in the normal fashion from that point.</p>","http://drupal.org/project/ezmlm","","1","Modules","Modules","1272530859"
"6","Feedback","feedback","<p>Feedback allows users and visitors of a Drupal site to quickly send feedback messages about the currently displayed page, using a fixed positioned and ajaxified feedback form.  This helps site administrators in quality assurance of their pages, contents and theme.</p><p>Because the form is submitted via AJAX, a user will not be redirected to another page and can continue visiting/using the site after posting feedback.</p><p>All feedback messages are listed and grouped by status in an administrative feedback log.  Each feedback message can be marked as 'done'.  Privileged users are able to see existing feedback messages for the currently displayed page to prevent submitting duplicate feedbacks for already known issues (f.e. during site building).  Since feedback messages are additionally stored with a 'masked' path (similar to dynamic menu item arguments in D6, i.e. ), existing feedback messages for similar pages can be displayed (except node/% paths).</p><p>Feedback optionally integrates with  to additionally record the user agent for each feedback message, which helps in tracking down theming issues.</p>","http://drupal.org/project/feedback","","1","Modules","Modules","1272530859"
"7","File","file","","http://drupal.org/project/file","","1","Modules","Modules","1272530859"
"8","Poormanscron","poormanscron","<p>A module which runs the Drupal cron operation using normal browser/page requests instead of having to set up a crontab to request the cron.php script. The module inserts a small amount of JavaScript on each page of your site that when a certain amount of time has passed since the last cron run, calls an AJAX request to run the cron tasks. Your users should not notice any kind of delay or disruption when viewing your site. However, this approach requires that your site gets regular traffic/visitors in order to trigger the cron request.</p>","http://drupal.org/project/poormanscron","","1","Modules","Modules","1272530860"
"9","Privatemsg","privatemsg","<p>Privatemsg allows your site's visitors to send private messages to each other. Perfect for community oriented sites, such as forums and social networking sites.</p><p>Development is progressing quickly, so if there's a feature you need in Privatemsg,  in the  section to the left, or explore the links under  below.</p><p>If you are interested in a stable and tested version of Privatemsg, use the latest stable 1.x release. No new features will be added to this branch and the API and UI is stable and will not be changed.</p><p>New features are being added constanstly to this branch, use this if you want to test these and help with development.</p>","http://drupal.org/project/privatemsg","http://drupal.org/files/images/privatemsg_1.thumbnail.png","1","Modules","Modules","1272530860"
"10","Bluemarine","bluemarine","<p>This is the Bluemarine theme that was in Drupal 6. It was removed from Drupal 7, but it will live on as a contributed theme at this location.</p><p></p>","http://drupal.org/project/bluemarine","http://drupal.org/files/images/screenshot-drupal.org__4.thumbnail.png","1","Themes","Themes","1272530860"
"11","Quotes","quotes","<p>The quotes module allows users to maintain a list of quotations that they find notable, humorous, famous, infamous, or otherwise worthy of sharing with website visitors. Quotes are stored as nodes, and users with the appropriate permissions can maintain their own list of quotes much like maintaining their own blog. One very interesting use of the Quotes module is to show  about a product or service.</p><p>Administrators can define one or more quote blocks to display either the latest quote or a random quote matching certain criteria. The quotes displayed in each block can be filtered by role, user, node, or category.</p><p>Support for Views is included.</p>","http://drupal.org/project/quotes","","1","Modules","Modules","1272530860"
"12","Webserver authentication","webserver_auth","<p>Admins can now enable access control their drupal directory via their webserver (e.g. http auth, NTLM, .htaccess) and with this module, Drupal honor's the web server's authentication. That means that your users don't maintain separate passwords for Drupal, and that terminated users automatically become inaccessible in Drupal. If you are running an LDAP server, or Microsoft Active Directory, use UNIX authentication, this is likely a good module for you.</p>","http://drupal.org/project/webserver_auth","","1","Modules","Modules","1272530860"
"13","Weather","weather","<p>This module uses METAR (eorological erodrome eport) data to display current weather conditions from anywhere in the world.</p><p>: I pledge that Weather module will have a full Drupal 7 release on the day that Drupal 7 is released.</p>","http://drupal.org/project/weather","http://drupal.org/files/images/weather-screenshot.thumbnail.png","1","Modules","Modules","1272530860"
"14","Webform","webform","<p>This module adds a webform nodetype to your Drupal site. Typical uses for Webform are questionnaires, contact or request/register forms, surveys, polls or a front end to issues tracking systems.</p>","http://drupal.org/project/webform","","1","Modules","Modules","1272530860"
"15","CAPTCHA","captcha","<p>A CAPTCHA is a challenge-response test most often placed within web forms to determine whether the user is human. The purpose of CAPTCHA is to block form submissions by spambots, which are automated scripts that post spam content everywhere they can. The CAPTCHA module provides this feature to virtually any user facing web form on a Drupal site.</p><p>The CAPTCHA module has currently only one active maintainer, me (). I do this in my spare time, which is unfortunately almost nonexistent at the moment due to real life obligations (day job, house renovation, etc). This is the main reason I can't make the  pledge. To give the CAPTCHA module the required level of maintenance, an extra co-maintainer would be welcome. If you're interested in helping with this very , please  or  in the CAPTCHA module issue tracker.</p>","http://drupal.org/project/captcha","http://drupal.org/files/images/image_captcha_example.thumbnail.png","1","Modules","Modules","1272530860"
"16","Database Administration","dba","<p>The dba module provides Drupal administrators with direct access to their Drupal database tables from within the standard Drupal user interface.  It is possible to execute scripts to create and alter tables, to backup one or more tables, to view/edit/delete data within tables, and to emtpy or drop tables.  If using MySQL, it is also possible to check and repair tables.</p>","http://drupal.org/project/dba","","1","Modules","Modules","1272530860"
"17","Code Filter","codefilter","<p>This is a simple filter module. It handles <code></code> and <?php ?> tags so that users can post code without having to worry about escaping with &lt; and &gt;</p>","http://drupal.org/project/codefilter","","1","Modules","Modules","1272530860"
"18","SimpleTest","simpletest","<p>Automated testing within Drupal should be done with SimpleTest, and this module has been designed to make testing of Drupal easier for all. Its features are powerful, and create a Drupal-specific testing API which is modeled after the . It should be noted that as of the 6.x-2.x release of this module, and Drupal 7 core, the afore mentioned third-party library is no longer a dependency.</p><p>If you are just starting to write tests for Drupal 6, you should use the 2.x branch of this module. If you have written tests previously please , as some things have changed between versions 1.x and 2.x.</p><p>SimpleTest 7.x development has been moved to a new location in ! Any issues related to Drupal HEAD should be filed in the core issue queue, any issues related to tests for 7.x should be filed in their parent module's component.</p><p>The php-curl library is required for SimpleTest to function.</p><p></p><p>Additional development / backport, sponsored by .</p>","http://drupal.org/project/simpletest","","1","Modules","Modules","1272530860"
