"rid","pid","version","tag","version_major","version_extra","version_patch","date","download_link","hash","filesize"
"1","1","7.0-alpha4","DRUPAL-7-0-ALPHA4","7","alpha4","","1272318014","http://ftp.drupal.org/files/projects/drupal-7.0-alpha4.tar.gz","c8f371a388bc65b2211d7d29856fb993","2403384"
"2","421","7.x-1.0-beta1","DRUPAL-7--1-0-BETA1","1","beta1","","1271053811","http://ftp.drupal.org/files/projects/koi-7.x-1.0-beta1.tar.gz","32191276238dd52dca5e0d5f5e0a6437","527889"
"3","425","7.x-1.x-dev","DRUPAL-7--1","1","dev","","1272111135","http://ftp.drupal.org/files/projects/mystique_theme-7.x-1.x-dev.tar.gz","d44596a5d18c697414346ba9acc68739","265855"
"4","370","7.x-1.0-beta2","DRUPAL-7--1-0-BETA2","1","beta2","","1265887206","http://ftp.drupal.org/files/projects/content_type_overview-7.x-1.0-beta2.tar.gz","6cca1d0d2fa9f753fe8af4e37e155124","10051"
"5","395","7.x-2.x-dev","HEAD","2","dev","","1272500046","http://ftp.drupal.org/files/projects/priorities-7.x-2.x-dev.tar.gz","76c241a9e377106fd26e747641f95e8f","24641"
"6","153","HEAD","HEAD","0","dev","","1258503533","http://ftp.drupal.org/files/projects/provision-HEAD.tar.gz","1f1a511f0cea090f5f4f696e6f214bdf","48804"
"7","404","7.x-1.0-alpha1","DRUPAL-7--1-0-ALPHA1","1","alpha1","","1270842007","http://ftp.drupal.org/files/projects/domain_xmlsitemap-7.x-1.0-alpha1.tar.gz","5ba148639def73d68ddfff6e474d1f78","6978"
"8","14","7.x-3.0-beta5","DRUPAL-7--3-0-BETA5","3","beta5","","1271177414","http://ftp.drupal.org/files/projects/webform-7.x-3.0-beta5.tar.gz","8e2e4e4b5c3e7f3b05f5af0454417f8a","334969"
"9","403","7.x-1.0-alpha2","DRUPAL-7--1-0-ALPHA2","1","alpha2","","1267316409","http://ftp.drupal.org/files/projects/yoxview-7.x-1.0-alpha2.tar.gz","c60850d7ad1929c1e2e3a43bc5bf42b4","44067"
"10","409","7.x-1.1","DRUPAL-7--1-1","1","","","1269833423","http://ftp.drupal.org/files/projects/options_element-7.x-1.1.tar.gz","a701f3f0687296660963e8f4aa79cf73","18531"
"11","322","7.x-2.0-alpha1","DRUPAL-7--2-0-ALPHA1","2","alpha1","","1269645619","http://ftp.drupal.org/files/projects/Andreas1024px-7.x-2.0-alpha1.tar.gz","38e8703195f10e267c660857fee75e29","38948"
